Partlist exported from C:/Users/mc041/OneDrive/Documents/EAGLE/projects/FLYTE_3.0/FLYTE_3.0.sch at 01-09-2024 17:35

Qty Value               Device                  Package                    Parts                                                                                            Description                                                                                                                                                                                                                                                    AVAILABILITY CENTERLINE_PITCH CHECK_PRICES                                                                              COMMENT  CUI_PURCHASE_URL                                                                                                                                       DESCRIPTION                                                                                                                                                               ELEMENT14_PART_NUMBER ELEMENT14_PRICE-STOCK EU_ROHS_COMPLIANCE        HEIGHT  MANUFACTURER MANUFACTURER_NAME  MANUFACTURER_PART_NUMBER MAXIMUM_PACKAGE_HEIGHT MF                    MP                  MPN NUMBER_OF_POSITIONS OC_FARNELL OC_NEWARK PACKAGE                       PARTREV  POPULARITY PRICE  PURCHASE-URL                                                                                                                                           SNAPEDA_LINK                                                                               SNAPEDA_PN          STANDARD                    
9                       LED.0603                0603.LED                   D3, D4, D5, D6, D7, D9, D11, D12, LED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4   24 pF               CAPACITOR.0603          0603                       C2, C3, C38, C39                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2   25 pF               CAPACITOR.0603          0603                       C23, C24                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1   27 nH               RF-INDUCTOR.0603        0603                       L6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2   27.4 ohm            RESISTOR.0603           0603                       R3, R4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
6   282834-2            282834-2                TE_282834-2                J2, J3, J4, J5, J9, J13                                                                          Check availability                                                                                                                                                                                                                                             In Stock     2.54 mm[.1 in]   https://www.snapeda.com/parts/282834-2/TE+Connectivity+AMP+Connectors/view-part/?ref=eda  282834-2                                                                                                                                                         Terminal Block Connector PCB 2.54 mm 30-16 AWG Green 10 A 150 V M1.6 | TE Connectivity 282834-2                                                                                                                      Compliant with Exemptions                                                                                         TE Connectivity       282834-2                2                                        None                                              None   https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=431057&manufacturer=TE Connectivity&part_name=282834-2&search_term=None                 https://www.snapeda.com/parts/282834-2/TE+Connectivity+AMP+Connectors/view-part/?ref=snap                                                  
1   28k ohm             RESISTOR.0603           0603                       R78                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   3.3 nF              CAPACITOR.0603          0603                       C34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2   3.3 pF              CAPACITOR.0603          0603                       C44, C49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2   315 ohm             RESISTOR.0603           0603                       R29, R59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1   316k ohm            RESISTOR.0603           0603                       R30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
